time,tavg,tmin,tmax,prcp
1990-05-18,30.9,27.6,38.0,0.0
1990-05-19,31.5,27.4,38.4,0.5
1990-05-20,30.2,27.2,36.7,1.0
1990-05-21,31.0,26.6,36.4,1.5
1990-05-22,30.8,26.0,37.1,2.0
1990-05-23,30.5,25.45,35.9,0.0
1990-05-24,28.7,24.9,35.7,0.5
1990-05-25,30.3,26.4,35.5,0.0
1990-05-26,30.616666666666667,26.666666666666664,35.78333333333333,0.0
1990-05-27,30.933333333333334,26.93333333333333,36.06666666666666,0.0
1990-05-28,31.25,27.2,36.35,0.0
1990-05-29,31.56666666666667,27.46666666666666,36.63333333333333,0.0
1990-05-30,31.883333333333333,27.73333333333333,36.91666666666666,0.0
1990-05-31,32.2,28.0,37.2,0.0
1990-06-01,31.6,28.8,38.2,0.0
1990-06-02,31.1,27.8,38.05,0.0
1990-06-03,30.8,26.6,37.9,0.0999999999999999
1990-06-04,31.0,25.4,37.3,0.1999999999999999
1990-06-05,30.6,27.0,37.8,0.3
1990-06-06,32.2,26.62,38.0,0.0
1990-06-07,29.3,26.24,38.2,0.075
1990-06-08,30.2,25.86,34.3,0.15
1990-06-09,30.3,25.48,35.9,0.2249999999999999
1990-06-10,30.3,25.1,35.8,0.3
1990-06-11,30.7,28.0,35.25,0.0
1990-06-12,29.8,25.4,34.7,0.8
1990-06-13,29.3,26.6,34.3,0.0
1990-06-14,30.9,26.8,36.9,0.0
1990-06-15,30.0,26.6,36.9,0.3
1990-06-16,31.1,27.3,36.9,0.0
1990-06-17,31.9,28.0,35.5,0.0
1990-06-18,32.2,27.6,35.9,0.0
1990-06-19,30.6,27.2,36.3,0.0
1990-06-20,29.8,26.8,35.9,0.0
1990-06-21,31.1,26.4,38.2,0.0
1990-06-22,31.3,26.25,37.3,3.55
1990-06-23,32.4,26.1,38.5,7.1
1990-06-24,31.5,26.75,38.4,0.0
1990-06-25,30.8,27.4,36.9,0.0
1990-06-26,31.6,26.4,36.5,0.0
1990-06-27,31.6,28.6,37.6,0.0
1990-06-28,31.2,27.4,37.8,0.0
1990-06-29,30.5,27.0,37.7,0.0
1990-06-30,31.3,27.9,37.4,0.0
1990-07-01,31.4,27.2,36.8,0.0
1990-07-02,29.6,25.4,36.0,0.0
1990-07-03,29.8,23.6,37.2,0.0
1990-07-04,30.9,25.7,37.0,0.0
1990-07-05,30.7,26.6,36.2,0.0
1990-07-06,29.8,26.4,35.4,0.0
1990-07-07,29.9,26.5,35.9,0.0
1990-07-08,29.4,26.599999999999994,35.9,0.0
1990-07-09,30.1,26.7,35.0,0.0
1990-07-10,29.6,26.066666666666663,37.0,0.3
1990-07-11,28.7,25.43333333333333,34.0,0.5
1990-07-12,29.6,24.8,34.4,8.4
1990-07-13,30.1,26.8,37.2,0.0
1990-07-14,29.9,25.9,36.6,0.3
1990-07-15,29.2,25.35,35.4,0.0
1990-07-16,28.8,24.8,32.6,0.5
1990-07-17,28.9,25.0,37.2,0.0
1990-07-18,29.2,25.2,35.7,8.6
1990-07-19,27.3,24.2,34.3,1.5
1990-07-20,27.5,23.2,34.5,26.4
1990-07-21,27.8,24.15,35.2,2.8
1990-07-22,27.9,25.1,30.0,2.3
1990-07-23,28.9,25.6,35.6,0.0
1990-07-24,28.9,26.2,36.2,0.3
1990-07-25,30.2,26.1,36.8,0.0
1990-07-26,30.4,26.6,37.4,0.0
1990-07-27,30.4,26.1,36.5,0.0
1990-07-28,29.6,24.7,37.5,0.0
1990-07-29,29.6,26.0,36.1,0.0
1990-07-30,29.9,25.5,36.4,0.5
1990-07-31,30.0,24.8,36.0,0.0
1990-08-01,29.7,24.65,35.6,0.0
1990-08-02,28.3,24.5,36.6,1.3
1990-08-03,29.2,24.8,35.9,0.0
1990-08-04,28.5,25.1,34.7,0.0
1990-08-05,29.3,25.25,35.0,0.0
1990-08-06,29.2,25.4,35.5,0.3
1990-08-07,25.3,24.4,33.65,2.8
1990-08-08,28.8,24.6,31.8,3.8
1990-08-09,26.4,24.4,27.9,0.0
1990-08-10,28.2,24.1,34.8,0.3
1990-08-11,29.1,23.8,33.1,36.1
1990-08-12,30.4,26.9,35.7,0.0
1990-08-13,28.3,25.4,32.5,0.0
1990-08-14,27.5,23.9,30.7,1.5
1990-08-15,30.2,25.15,33.5,0.0
1990-08-16,31.4,26.4,36.3,0.0
1990-08-17,30.7,26.7,36.3,0.0
1990-08-18,31.4,26.7,37.4,0.0
1990-08-19,32.1,27.5,36.7,0.0
1990-08-20,32.2,28.2,36.2,0.0
1990-08-21,31.2,28.3,36.45,0.0
1990-08-22,31.7,28.5,36.7,0.0
1990-08-23,30.8,27.8,37.3,0.0
1990-08-24,29.2,26.35,38.2,0.8
1990-08-25,29.3,24.9,34.9,15.7
1990-08-26,29.2,24.65,35.9,0.0
1990-08-27,27.9,24.4,31.3,1.3
1990-08-28,29.7,24.6,35.7,0.3
1990-08-29,29.4,26.0,36.6,1.5
1990-08-30,30.1,24.8,35.5,14.2
1990-08-31,30.6,27.3,37.0,0.0
1990-09-01,30.2,27.0,36.3,1.0
1990-09-02,29.9,26.0,36.0,0.0
1990-09-03,28.8,25.3,35.4,9.9
1990-09-04,30.8,26.1,36.6,0.0
1990-09-05,29.2,25.7,35.5,1.5
1990-09-06,28.9,25.0,33.1,0.0
1990-09-07,29.1,25.2,34.9,0.0
1990-09-08,27.9,23.9,33.5,1.0
1990-09-09,29.4,23.8,35.5,12.4
1990-09-10,30.2,25.4,35.4,0.0
1990-09-11,30.0,26.0,35.3,0.0
1990-09-12,29.9,26.1,35.2,0.0
1990-09-13,30.3,26.9,36.4,0.0
1990-09-14,30.7,27.4,36.7,0.0
1990-09-15,30.4,26.0,35.8,0.0
1990-09-16,29.8,25.366666666666667,35.3,0.0
1990-09-17,28.5,24.73333333333333,35.8,0.0
1990-09-18,29.1,24.1,36.1,0.0
1990-09-19,29.1,26.2,34.9,0.0
1990-09-20,29.1,25.4,35.5,0.5
1990-09-21,28.1,22.85,35.1,1.0
1990-09-22,28.4,20.3,34.7,25.4
1990-09-23,27.6,22.25,34.9,0.0
1990-09-24,28.8,24.2,34.2,2.5
1990-09-25,27.6,24.05,32.5,0.0
1990-09-26,28.8,23.9,33.4,0.0
1990-09-27,27.2,23.750000000000004,34.8,11.7
1990-09-28,26.4,23.6,30.4,23.4
1990-09-29,26.6,23.0,29.5,27.7
1990-09-30,27.2,25.6,29.2,1.0
1990-10-01,27.8,25.7,30.4,0.5
1990-10-02,28.3,25.9,32.7,0.0
1990-10-03,29.3,25.5,33.9,3.0
1990-10-04,28.6,25.8,32.7,0.0
1990-10-05,29.1,26.0,34.9,0.0
1990-10-06,30.4,25.8,36.1,0.0
1990-10-07,30.1,25.6,36.4,0.0
1990-10-08,29.5,26.0,35.3,0.0
1990-10-09,28.8,25.9,33.4,0.0
1990-10-10,29.1,25.75,33.6,0.0
1990-10-11,28.1,25.6,31.9,0.0
1990-10-12,27.6,24.9,31.6,0.0
1990-10-13,28.2,24.5,32.8,0.0
1990-10-14,28.6,24.9,32.7,0.0
1990-10-15,27.7,24.9,32.2,3.8
1990-10-16,27.7,23.6,31.7,5.1
1990-10-17,29.0,24.3,32.0,0.0
1990-10-18,27.8,24.8,31.7,4.8
1990-10-19,25.3,24.4,26.3,27.4
1990-10-20,25.8,23.3,27.5,59.7
1990-10-21,27.1,24.1,29.1,7.6
1990-10-22,26.5,24.5,28.85,7.1
1990-10-23,26.3,24.0,28.6,20.1
1990-10-24,26.9,24.9,31.4,0.0
1990-10-25,27.0,24.5,30.8,23.1
1990-10-26,27.7,23.8,31.3,19.1
1990-10-27,24.8,23.8,26.4,22.9
1990-10-28,24.7,23.0,26.9,46.0
1990-10-29,24.1,23.15,26.0,23.6
1990-10-30,23.9,23.3,25.7,104.9
1990-10-31,24.2,23.2,25.7,82.0
1990-11-01,23.7,22.95,25.7,7.6
1990-11-02,24.8,22.7,27.4,133.1
1990-11-03,26.7,22.0,31.7,0.0
1990-11-04,27.2,23.9,30.7,0.0
1990-11-05,28.1,24.7,32.9,0.0
1990-11-06,28.5,23.9,33.2,0.0
1990-11-07,28.133333333333333,23.966666666666665,33.099999999999994,0.0
1990-11-08,27.766666666666666,24.03333333333333,33.0,0.0
1990-11-09,27.4,24.1,32.9,0.0
1990-11-10,26.9,22.75,32.0,0.0
1990-11-11,25.8,21.4,31.1,0.0
1990-11-12,24.9,20.3,30.7,0.0
1990-11-13,27.2,20.3,31.9,0.0
1990-11-14,24.4,23.6,26.3,10.4
1990-11-15,26.0,23.0,29.5,17.5
1990-11-16,26.8,23.35,29.9,0.0
1990-11-17,26.9,23.7,30.9,1.0
1990-11-18,26.9,24.2,30.8,0.0
1990-11-19,27.2,22.8,30.75,0.0
1990-11-20,26.6,22.8,30.7,0.0
1990-11-21,25.8,23.133333333333333,29.4,7.1
1990-11-22,25.0,23.46666666666667,29.8,0.0
1990-11-23,27.1,23.8,29.9,0.0
1990-11-24,27.0,24.7,30.4,0.0
1990-11-25,25.7,23.7,27.9,8.6
1990-11-26,26.5,24.05,28.8,0.0
1990-11-27,26.9,24.4,29.7,8.4
1990-11-28,26.8,23.5,29.5,2.0
1990-11-29,25.8,22.8,29.9,0.0
1990-11-30,25.7,22.3,30.9,0.0
1990-12-01,25.7,21.4,30.1,0.0
1990-12-02,25.9,21.9,29.85,0.0
1990-12-03,27.2,23.9,29.6,3.3
1990-12-04,25.9,23.6,27.4,0.0
1990-12-05,26.8,23.3,29.5,8.4
1990-12-06,26.7,23.0,29.5,0.0
1990-12-07,27.1,23.8,29.4,0.0
1990-12-08,26.4,22.4,29.5,0.0
1990-12-09,25.1,21.9,29.2,1.5
1990-12-10,25.1,21.4,29.1,0.0
1990-12-11,25.2,21.2,29.5,0.0
1990-12-12,25.9,21.7,28.9,0.0
1990-12-13,25.4,21.2,29.2,0.0
1990-12-14,25.3,21.3,28.3,0.0
1990-12-15,24.9,21.4,28.5,0.0
1990-12-16,24.4,20.6,29.1,0.0
1990-12-17,25.0,19.8,30.7,0.0
1990-12-18,24.8,20.9,30.6,0.0
1990-12-19,25.3,21.4,29.7,0.0
1990-12-20,25.0,22.1,28.9,2.3
1990-12-21,25.9,22.2,29.2,0.0
1990-12-22,25.7,22.3,29.3,0.0
1990-12-23,25.5,22.4,28.4,0.0
1990-12-24,25.2,22.0,28.4,0.0
1990-12-25,24.5,21.2,28.4,0.0
1990-12-26,24.9,21.3,28.3,0.0
1990-12-27,24.55,20.65,28.55,0.0
1990-12-28,24.2,20.0,28.8,0.0
1990-12-29,24.2,19.9,28.3,0.0
1990-12-30,24.0,21.4,26.1,5.166666666666666
1990-12-31,24.8,22.9,27.5,10.333333333333332
1991-01-01,25.7,22.5,30.3,15.5
1991-01-02,26.3,23.8,31.1,0.3
1991-01-03,25.3,23.05,29.4,0.0
1991-01-04,24.9,22.3,28.1,0.0
1991-01-05,25.0,22.0,29.2,0.5
1991-01-06,25.9,22.2,29.7,0.0
1991-01-07,25.4,22.5,29.4,0.5
1991-01-08,23.9,21.55,28.5,0.0
1991-01-09,25.2,20.6,29.0,0.0
1991-01-10,25.1,21.6,29.7,0.0
1991-01-11,25.4,22.4,29.3,0.0
1991-01-12,24.9,21.2,29.5,0.0
1991-01-13,23.8,20.6,29.0,0.0
1991-01-14,23.3,20.3,29.5,0.0
1991-01-15,24.7,20.0,29.4,0.0
1991-01-16,25.2,21.9,28.9,0.0
1991-01-17,26.0,22.9,29.3,0.0
1991-01-18,25.3,22.2,29.6,0.0
1991-01-19,25.2,21.8,30.0,0.0
1991-01-20,24.7,21.4,30.0,0.0
1991-01-21,24.9,21.0,29.9,0.0
1991-01-22,25.0,20.7,29.8,0.0
1991-01-23,25.4,21.3,29.9,0.0
1991-01-24,25.2,21.4,29.5,0.0
1991-01-25,24.3,21.3,30.0,0.0
1991-01-26,24.6,20.5,29.7,0.0
1991-01-27,24.3,20.4,29.7,0.0
1991-01-28,25.1,19.5,32.9,0.0
1991-01-29,26.3,18.6,31.45,0.0
1991-01-30,25.4,20.9,30.0,0.0
1991-01-31,25.7,20.9,30.1,0.65
1991-02-01,25.9,23.1,29.7,1.3
1991-02-02,26.3,22.9,30.5,0.0
1991-02-03,27.4,23.4,33.1,0.0
1991-02-04,26.6,23.4,31.75,0.0
1991-02-05,25.9,21.9,30.4,0.0
1991-02-06,25.5,21.4,30.4,0.0
1991-02-07,24.6,21.3,30.5,0.0
1991-02-08,25.2,21.0,30.3,0.0
1991-02-09,25.2,20.9,30.5,0.0
1991-02-10,25.1,21.0,30.6,0.0
1991-02-11,25.9,19.5,33.6,0.0
1991-02-12,24.9,20.3,32.4,0.0
1991-02-13,26.1,19.7,32.2,0.0
1991-02-14,24.7,20.0,31.9,0.0
1991-02-15,27.7,20.5,33.7,0.0
1991-02-16,27.6,20.4,35.5,0.0
1991-02-17,27.8,21.4,35.9,0.0
1991-02-18,26.3,22.0,32.7,0.0
1991-02-19,26.0,21.4,31.7,0.0
1991-02-20,26.8,21.9,31.0,0.0
1991-02-21,26.7,23.0,31.6,0.0
1991-02-22,26.7,22.0,31.6,0.0
1991-02-23,26.7,21.9,31.5,0.0
1991-02-24,26.8,22.9,31.7,0.0
1991-02-25,27.6,23.3,32.3,0.0
1991-02-26,27.3,24.0,31.9,0.0
1991-02-27,27.7,23.6,32.3,0.0
1991-02-28,27.2,22.9,31.6,0.0
1991-03-01,26.8,22.1,31.4,0.0
1991-03-02,27.8,23.0,31.8,0.0
1991-03-03,27.0,23.2,32.0,0.0
1991-03-04,28.2,23.9,33.2,0.0
1991-03-05,28.3,24.0,33.7,0.0
1991-03-06,29.3,24.0,33.3,0.0
1991-03-07,29.4,24.1,34.2,0.0
1991-03-08,28.4,24.0,32.9,0.0
1991-03-09,27.5,23.9,32.0,0.0
1991-03-10,26.4,23.4,32.3,0.0
1991-03-11,26.6,22.7,33.4,0.0
1991-03-12,27.8,21.7,33.6,0.0
1991-03-13,27.0,22.3,32.9,0.0
1991-03-14,27.7,22.0,32.6,0.0
1991-03-15,27.7,22.4,32.4,0.0
1991-03-16,27.7,22.9,34.4,0.0
1991-03-17,27.8,23.8,33.2,0.0
1991-03-18,28.4,23.7,35.5,0.0
1991-03-19,28.1,23.6,36.1,0.0
1991-03-20,30.4,24.1,38.7,0.0
1991-03-21,28.9,25.4,36.0,0.0
1991-03-22,29.5,24.65,35.9,0.0
1991-03-23,28.2,23.9,34.6,0.0
1991-03-24,28.2,24.15,33.6,0.0
1991-03-25,28.9,24.4,34.1,0.0
1991-03-26,28.8,25.2,33.8,6.1
1991-03-27,29.6,25.4,33.599999999999994,0.0
1991-03-28,28.2,24.2,33.4,0.0
1991-03-29,28.1,23.7,33.2,0.0
1991-03-30,28.9,24.3,34.2,0.0
1991-03-31,29.8,25.0,35.2,0.0
1991-04-01,29.5,25.3,34.9,0.0
1991-04-02,29.7,25.9,35.0,0.0
1991-04-03,29.3,26.1,33.4,0.0
1991-04-04,29.4,24.6,34.2,0.0
1991-04-05,29.6,24.9,33.9,0.0
1991-04-06,30.0,26.1,34.6,0.0
1991-04-07,30.0,26.3,34.4,0.0
1991-04-08,31.1,26.8,36.7,0.0
1991-04-09,31.0,27.0,37.4,0.0
1991-04-10,31.4,27.0,36.0,0.0
1991-04-11,31.1,26.4,36.2,0.0
1991-04-12,29.8,24.9,34.9,0.0
1991-04-13,30.7,26.1,34.4,0.0
1991-04-14,30.3,26.3,35.0,0.0
1991-04-15,30.4,26.8,35.5,0.0
1991-04-16,30.4,26.5,37.2,0.0
1991-04-17,29.6,25.8,36.4,0.0
1991-04-18,29.6,25.1,36.4,0.0
1991-04-19,30.7,26.3,36.6,0.0
1991-04-20,31.8,26.9,38.3,0.0
1991-04-21,32.3,27.1,37.5,0.0
1991-04-22,30.8,27.5,35.6,0.0
1991-04-23,32.0,27.3,36.2,0.0
1991-04-24,30.8,27.4,36.0,0.0
1991-04-25,31.2,26.8,37.6,0.0
1991-04-26,30.3,26.2,35.9,0.0
1991-04-27,30.8,25.6,38.9,0.0
1991-04-28,32.8,26.6,39.4,0.0
1991-04-29,33.9,29.1,40.8,0.0
1991-04-30,33.4,28.2,42.2,0.0
1991-05-01,33.1,29.0,41.9,0.0
1991-05-02,33.6,29.3,40.05,0.0
1991-05-03,32.7,28.966666666666665,38.2,0.0
1991-05-04,31.1,28.633333333333333,36.7,0.0
1991-05-05,31.4,28.3,38.6,6.1
1991-05-06,32.6,28.5,38.9,0.0
1991-05-07,33.4,28.7,40.5,0.0
1991-05-08,34.2,28.9,39.6,0.0
1991-05-09,35.1,28.7,39.9,0.0
1991-05-10,32.1,28.4,37.7,0.0
1991-05-11,30.7,27.899999999999995,36.3,0.0
1991-05-12,30.4,27.399999999999995,34.9,0.0
1991-05-13,31.2,26.9,35.25,0.0
1991-05-14,31.0,26.8,35.6,0.0
1991-05-15,31.65,26.65,36.150000000000006,0.0
1991-05-16,32.3,26.5,36.7,0.0
1991-05-17,31.6,27.9,36.7,0.0
1991-05-18,31.9,27.9,38.8,0.0
1991-05-19,31.3,28.2,38.1,0.0
1991-05-20,30.8,28.5,37.4,0.0
1991-05-21,30.6,27.4,36.8,0.0
1991-05-22,31.5,27.8,37.7,0.0
1991-05-23,32.6,27.9,37.2,0.0
1991-05-24,32.6,28.4,39.2,0.0
1991-05-25,32.2,28.9,39.7,5.1
1991-05-26,32.8,29.3,38.0,0.0
1991-05-27,30.7,28.6,35.1,0.0
1991-05-28,31.8,27.9,37.5,0.0
1991-05-29,32.8,28.3,38.3,0.0
1991-05-30,32.7,28.7,37.9,0.0
1991-05-31,32.3,28.8,36.8,0.0
1991-06-01,31.2,28.5,35.7,0.0
1991-06-02,30.0,28.0,34.55,0.8
1991-06-03,29.7,26.1,33.4,6.1
1991-06-04,25.4,25.15,26.9,9.1
1991-06-05,27.4,24.2,30.8,131.1
1991-06-06,30.3,26.9,34.7,1.0
1991-06-07,30.6,26.6,35.9,1.8
1991-06-08,32.2,27.1,37.0,0.0
1991-06-09,30.5,27.4,35.5,0.0
1991-06-10,30.8,26.7,36.0,0.0
1991-06-11,30.6,27.9,36.6,0.25
1991-06-12,30.3,27.15,36.5,0.5
1991-06-13,30.5,26.4,36.4,1.5
1991-06-14,29.7,25.65,35.9,0.0
1991-06-15,28.6,24.9,35.4,14.7
1991-06-16,30.3,25.0,36.5,1.5
1991-06-17,30.3,27.4,34.3,0.0
1991-06-18,30.8,27.65,35.0,0.0
1991-06-19,31.2,27.9,36.4,0.0
1991-06-20,30.9,27.1,36.3,0.0
1991-06-21,30.3,27.0,36.5,0.0
1991-06-22,30.1,27.4,37.5,0.0
1991-06-23,27.9,25.4,36.5,1.0
1991-06-24,28.6,23.4,34.2,5.6
1991-06-25,28.6,24.4,34.2,4.8
1991-06-26,28.2,24.65,34.3,0.0
1991-06-27,29.4,24.9,32.8,0.0
1991-06-28,30.0,25.8,35.2,0.0
1991-06-29,29.9,26.7,34.9,0.0
1991-06-30,29.7,25.05,34.6,0.0
1991-07-01,28.9,23.4,33.7,65.5
1991-07-02,29.8,23.83333333333333,36.0,0.0
1991-07-03,29.2,24.266666666666666,35.7,5.6
1991-07-04,27.6,24.7,30.0,8.4
1991-07-05,29.4,24.43333333333333,32.5,0.3
1991-07-06,28.2,24.166666666666664,32.4,129.8
1991-07-07,27.1,23.9,32.05,3.8
1991-07-08,26.9,24.7,31.7,0.5
1991-07-09,28.6,24.4,32.2,0.8
1991-07-10,28.3,24.85,34.4,0.0
1991-07-11,31.2,25.3,35.9,1.8
1991-07-12,29.1,26.5,34.0,0.5
1991-07-13,31.9,26.7,36.9,0.5
1991-07-14,31.0,26.9,36.9,0.0
1991-07-15,29.8,26.35,33.0,0.0
1991-07-16,30.3,25.8,35.0,0.0
1991-07-17,29.2,27.4,34.1,0.0
1991-07-18,30.2,27.0,35.9,0.0
1991-07-19,31.2,26.7,36.9,0.0
1991-07-20,31.8,27.9,37.9,0.5
1991-07-21,30.9,28.4,37.7,1.0
1991-07-22,32.5,27.9,37.5,0.0
1991-07-23,32.3,27.2,37.4,0.0
1991-07-24,31.9,28.1,36.1,0.0
1991-07-25,32.7,27.3,36.25,0.0
1991-07-26,32.4,28.5,36.4,0.0
1991-07-27,31.7,28.4,36.4,0.0
1991-07-28,29.9,27.25,36.0,0.0
1991-07-29,31.6,26.1,37.0,0.0
1991-07-30,30.9,26.9,37.1,0.0
1991-07-31,30.7,26.5,37.2,0.0
1991-08-01,29.2,25.7,36.8,0.0
1991-08-02,29.1,24.9,32.2,1.0
1991-08-03,27.9,23.93333333333333,36.1,0.0
1991-08-04,26.7,22.966666666666665,35.6,13.5
1991-08-05,26.7,22.0,31.9,41.1
1991-08-06,26.8,23.0,29.5,21.6
1991-08-07,25.3,23.0,30.55,0.0
1991-08-08,26.3,23.0,31.6,15.0
1991-08-09,28.4,24.0,32.8,0.8
1991-08-10,29.4,25.0,33.8,0.0
1991-08-11,30.1,25.7,34.7,0.0
1991-08-12,28.5,24.9,33.6,5.45
1991-08-13,29.7,24.1,32.7,10.9
1991-08-14,30.1,24.34,32.6,0.0
1991-08-15,28.8,24.58,33.75,0.0
1991-08-16,30.5,24.82,34.9,0.0
1991-08-17,30.2,25.06,35.4,1.0
1991-08-18,30.2,25.3,34.95,2.0
1991-08-19,30.7,26.5,34.5,0.0
1991-08-20,30.3,26.2,34.5,0.0
1991-08-21,30.1,26.9,34.9,0.15
